account_name,account_size,current_owner,estimated_annual_value,customer_status
Acme Corporation,Enterprise,Rep_1,450000,Customer
TechVision Inc,Large,Rep_1,280000,Customer
GlobalSoft Solutions,Enterprise,Rep_1,500000,Customer
DataSync Systems,Large,Rep_1,320000,Customer
CloudFirst Technologies,Enterprise,Rep_1,475000,Prospect
InnovateCorp,Large,Rep_1,295000,Customer
NextGen Analytics,Enterprise,Rep_1,490000,Customer
Quantum Industries,Large,Rep_1,310000,Prospect
AlphaWave Systems,Enterprise,Rep_1,460000,Customer
BetaTech Solutions,Large,Rep_1,275000,Customer
CoreLogic Enterprises,Enterprise,Rep_1,485000,Customer
Delta Innovations,Large,Rep_1,305000,Prospect
Epsilon Technologies,Enterprise,Rep_1,470000,Customer
Zenith Solutions,Large,Rep_1,290000,Customer
Pinnacle Systems,Enterprise,Rep_1,495000,Customer
Vertex Analytics,Large,Rep_1,315000,Customer
Horizon Tech Group,Enterprise,Rep_1,455000,Prospect
Nexus Corporation,Large,Rep_1,285000,Customer
Summit Solutions,Enterprise,Rep_1,480000,Customer
Apex Innovations,Large,Rep_1,300000,Customer
Titan Enterprises,Enterprise,Rep_2,465000,Customer
Omega Systems,Large,Rep_2,325000,Customer
Vanguard Tech,Enterprise,Rep_2,440000,Prospect
Precision Analytics,Large,Rep_2,270000,Customer
Stellar Solutions,Enterprise,Rep_2,455000,Customer
Matrix Industries,Large,Rep_2,295000,Customer
Fusion Technologies,Enterprise,Rep_2,475000,Customer
Prism Systems,Large,Rep_2,310000,Prospect
Catalyst Corp,Enterprise,Rep_2,450000,Customer
Momentum Tech,Large,Rep_2,280000,Customer
Velocity Solutions,Enterprise,Rep_2,490000,Customer
Paradigm Group,Large,Rep_2,305000,Customer
Synergy Innovations,Enterprise,Rep_2,460000,Prospect
Convergence Systems,Large,Rep_2,290000,Customer
Evolution Tech,Enterprise,Rep_2,470000,Customer
Brilliant Solutions,Medium,Rep_3,85000,Customer
Dynamic Ventures,Medium,Rep_3,92000,Prospect
Spectrum Analytics,Medium,Rep_3,78000,Customer
Meridian Tech,Medium,Rep_3,88000,Customer
Crest Systems,Medium,Rep_3,95000,Customer
Frontier Solutions,Medium,Rep_3,82000,Prospect
Pioneer Industries,Medium,Rep_3,90000,Customer
Horizon Ventures,Medium,Rep_3,76000,Customer
Compass Tech,Medium,Rep_3,94000,Customer
Beacon Systems,Medium,Rep_3,80000,Prospect
Gateway Solutions,Medium,Rep_3,87000,Customer
Bridge Technologies,Medium,Rep_3,91000,Customer
Portal Innovations,Medium,Rep_3,79000,Customer
Pathway Corp,Medium,Rep_3,86000,Prospect
Navigator Systems,Medium,Rep_3,93000,Customer
Milestone Solutions,Medium,Rep_3,81000,Customer
Keystone Tech,Medium,Rep_3,89000,Customer
Foundation Group,Medium,Rep_3,84000,Prospect
Cornerstone Systems,Medium,Rep_3,96000,Customer
Blueprint Analytics,Medium,Rep_3,77000,Customer
Framework Solutions,Medium,Rep_3,83000,Customer
Structure Tech,Medium,Rep_3,90000,Customer
Baseline Systems,Medium,Rep_3,75000,Prospect
Platform Innovations,Medium,Rep_3,88000,Customer
Axis Corporation,Medium,Rep_3,92000,Customer
SmartTech Solutions,Small,Rep_4,25000,Customer
QuickServe Systems,Small,Rep_4,18000,Prospect
MicroData Inc,Small,Rep_4,22000,Customer
CompactTech,Small,Rep_4,28000,Customer
AgileWorks,Small,Rep_4,20000,Customer
SwiftSolutions,Small,Rep_4,24000,Prospect
NimbleTech,Small,Rep_4,19000,Customer
RapidSystems,Small,Rep_4,26000,Customer
FlexiCorp,Small,Rep_4,21000,Customer
LeanTech Solutions,Small,Rep_4,23000,Prospect
EfficientSystems,Small,Rep_4,27000,Customer
StreamlineTech,Small,Rep_4,17000,Customer
OptimizeWorks,Small,Rep_4,25000,Customer
SpeedySolutions,Small,Rep_4,20000,Prospect
SimpleTech Inc,Small,Rep_4,22000,Customer
QuickWin Systems,Small,Rep_4,24000,Customer
FastTrack Solutions,Small,Rep_4,19000,Customer
DirectTech,Small,Rep_4,26000,Prospect
CompactSolutions,Small,Rep_4,21000,Customer
MiniSystems Corp,Small,Rep_4,23000,Customer
BriefTech,Small,Rep_4,18000,Customer
ConciseSolutions,Small,Rep_4,25000,Customer
TerseTech,Small,Rep_4,20000,Prospect
PithySystems,Small,Rep_4,22000,Customer
SnappyTech,Small,Rep_4,24000,Customer
CrispSolutions,Small,Rep_4,19000,Customer
ShortCut Systems,Small,Rep_4,27000,Prospect
QuickByte Tech,Small,Rep_4,21000,Customer
InstantSolutions,Small,Rep_4,23000,Customer
PromptTech,Small,Rep_4,18000,Customer
ReadySystems,Small,Rep_4,25000,Customer
HandyTech,Small,Rep_4,20000,Prospect
EasySolutions,Small,Rep_4,22000,Customer
BreezyTech,Small,Rep_4,24000,Customer
LightSystems,Small,Rep_4,19000,Customer
AirySolutions,Small,Rep_4,26000,Customer
Elite Enterprises,Large,Rep_5,330000,Customer
Premier Systems,Large,Rep_5,285000,Prospect
Superior Tech,Large,Rep_5,315000,Customer
Excellence Corp,Large,Rep_5,295000,Customer
Prestige Solutions,Large,Rep_5,340000,Customer
Quality Innovations,Large,Rep_5,275000,Customer
Prime Technologies,Large,Rep_5,325000,Prospect
Distinguished Systems,Large,Rep_5,290000,Customer
Notable Solutions,Large,Rep_5,310000,Customer
Eminent Tech,Large,Rep_5,305000,Customer
Renowned Corp,Large,Rep_5,335000,Customer
Esteemed Systems,Large,Rep_5,280000,Prospect
Respected Solutions,Large,Rep_5,320000,Customer
