account_name,account_size,current_owner,estimated_annual_value,customer_status,city,state,zip_code,latitude,longitude,region,new_owner
Acme Corporation,Enterprise,Rep_1,450000,Customer,San Diego,CA,92101,32.7157,-117.1611,West,Rep_1
TechVision Inc,Large,Rep_1,280000,Customer,San Francisco,CA,94102,37.7749,-122.4194,West,Rep_1
GlobalSoft Solutions,Enterprise,Rep_1,500000,Customer,Detroit,MI,48201,42.3314,-83.0458,Midwest,Rep_1
DataSync Systems,Large,Rep_1,320000,Customer,Austin,TX,78701,30.2672,-97.7431,South,Rep_1
CloudFirst Technologies,Enterprise,Rep_1,475000,Prospect,Atlanta,GA,30303,33.749,-84.388,South,Rep_4
InnovateCorp,Large,Rep_1,295000,Customer,Salt Lake City,UT,84101,40.7608,-111.891,Mountain,Rep_1
NextGen Analytics,Enterprise,Rep_1,490000,Customer,New York,NY,10001,40.7128,-74.006,Northeast,Rep_1
Quantum Industries,Large,Rep_1,310000,Prospect,San Francisco,CA,94102,37.7749,-122.4194,West,Rep_3
AlphaWave Systems,Enterprise,Rep_1,460000,Customer,San Francisco,CA,94102,37.7749,-122.4194,West,Rep_1
BetaTech Solutions,Large,Rep_1,275000,Customer,Charlotte,NC,28202,35.2271,-80.8431,South,Rep_1
CoreLogic Enterprises,Enterprise,Rep_1,485000,Customer,Austin,TX,78701,30.2672,-97.7431,South,Rep_1
Delta Innovations,Large,Rep_1,305000,Prospect,Austin,TX,78701,30.2672,-97.7431,South,Rep_4
Epsilon Technologies,Enterprise,Rep_1,470000,Customer,Austin,TX,78701,30.2672,-97.7431,South,Rep_1
Zenith Solutions,Large,Rep_1,290000,Customer,Boston,MA,2101,42.3601,-71.0589,Northeast,Rep_1
Pinnacle Systems,Enterprise,Rep_1,495000,Customer,Detroit,MI,48201,42.3314,-83.0458,Midwest,Rep_1
Vertex Analytics,Large,Rep_1,315000,Customer,Austin,TX,78701,30.2672,-97.7431,South,Rep_1
Horizon Tech Group,Enterprise,Rep_1,455000,Prospect,Washington,DC,20001,38.9072,-77.0369,Northeast,Rep_7
Nexus Corporation,Large,Rep_1,285000,Customer,San Francisco,CA,94102,37.7749,-122.4194,West,Rep_1
Summit Solutions,Enterprise,Rep_1,480000,Customer,New York,NY,10001,40.7128,-74.006,Northeast,Rep_1
Apex Innovations,Large,Rep_1,300000,Customer,Boston,MA,2101,42.3601,-71.0589,Northeast,Rep_1
Titan Enterprises,Enterprise,Rep_2,465000,Customer,Washington,DC,20001,38.9072,-77.0369,Northeast,Rep_2
Omega Systems,Large,Rep_2,325000,Customer,New York,NY,10001,40.7128,-74.006,Northeast,Rep_2
Vanguard Tech,Enterprise,Rep_2,440000,Prospect,Nashville,TN,37201,36.1627,-86.7816,South,Rep_6
