account_name,account_size,current_owner,estimated_annual_value,customer_status,city,state,zip_code,latitude,longitude,region
Acme Corporation,Enterprise,Rep_1,450000,Customer,San Diego,CA,92101,32.7157,-117.1611,West
TechVision Inc,Large,Rep_1,280000,Customer,San Francisco,CA,94102,37.7749,-122.4194,West
GlobalSoft Solutions,Enterprise,Rep_1,500000,Customer,Detroit,MI,48201,42.3314,-83.0458,Midwest
DataSync Systems,Large,Rep_1,320000,Customer,Austin,TX,78701,30.2672,-97.7431,South
CloudFirst Technologies,Enterprise,Rep_1,475000,Prospect,Atlanta,GA,30303,33.749,-84.388,South
InnovateCorp,Large,Rep_1,295000,Customer,Salt Lake City,UT,84101,40.7608,-111.891,Mountain
NextGen Analytics,Enterprise,Rep_1,490000,Customer,New York,NY,10001,40.7128,-74.006,Northeast
Quantum Industries,Large,Rep_1,310000,Prospect,San Francisco,CA,94102,37.7749,-122.4194,West
AlphaWave Systems,Enterprise,Rep_1,460000,Customer,San Francisco,CA,94102,37.7749,-122.4194,West
BetaTech Solutions,Large,Rep_1,275000,Customer,Charlotte,NC,28202,35.2271,-80.8431,South
CoreLogic Enterprises,Enterprise,Rep_1,485000,Customer,Austin,TX,78701,30.2672,-97.7431,South
Delta Innovations,Large,Rep_1,305000,Prospect,Austin,TX,78701,30.2672,-97.7431,South
Epsilon Technologies,Enterprise,Rep_1,470000,Customer,Austin,TX,78701,30.2672,-97.7431,South
Zenith Solutions,Large,Rep_1,290000,Customer,Boston,MA,02101,42.3601,-71.0589,Northeast
Pinnacle Systems,Enterprise,Rep_1,495000,Customer,Detroit,MI,48201,42.3314,-83.0458,Midwest
Vertex Analytics,Large,Rep_1,315000,Customer,Austin,TX,78701,30.2672,-97.7431,South
Horizon Tech Group,Enterprise,Rep_1,455000,Prospect,Washington,DC,20001,38.9072,-77.0369,Northeast
Nexus Corporation,Large,Rep_1,285000,Customer,San Francisco,CA,94102,37.7749,-122.4194,West
Summit Solutions,Enterprise,Rep_1,480000,Customer,New York,NY,10001,40.7128,-74.006,Northeast
Apex Innovations,Large,Rep_1,300000,Customer,Boston,MA,02101,42.3601,-71.0589,Northeast
Titan Enterprises,Enterprise,Rep_2,465000,Customer,Washington,DC,20001,38.9072,-77.0369,Northeast
Omega Systems,Large,Rep_2,325000,Customer,New York,NY,10001,40.7128,-74.006,Northeast
Vanguard Tech,Enterprise,Rep_2,440000,Prospect,Nashville,TN,37201,36.1627,-86.7816,South
Precision Analytics,Large,Rep_2,270000,Customer,New York,NY,10001,40.7128,-74.006,Northeast
Stellar Solutions,Enterprise,Rep_2,455000,Customer,New York,NY,10001,40.7128,-74.006,Northeast
Matrix Industries,Large,Rep_2,295000,Customer,Boston,MA,02101,42.3601,-71.0589,Northeast
Fusion Technologies,Enterprise,Rep_2,475000,Customer,San Francisco,CA,94102,37.7749,-122.4194,West
Prism Systems,Large,Rep_2,310000,Prospect,San Diego,CA,92101,32.7157,-117.1611,West
Catalyst Corp,Enterprise,Rep_2,450000,Customer,Philadelphia,PA,19102,39.9526,-75.1652,Northeast
Momentum Tech,Large,Rep_2,280000,Customer,Philadelphia,PA,19102,39.9526,-75.1652,Northeast
Velocity Solutions,Enterprise,Rep_2,490000,Customer,New York,NY,10001,40.7128,-74.006,Northeast
Paradigm Group,Large,Rep_2,305000,Customer,Chicago,IL,60601,41.8781,-87.6298,Midwest
Synergy Innovations,Enterprise,Rep_2,460000,Prospect,Boston,MA,02101,42.3601,-71.0589,Northeast
Convergence Systems,Large,Rep_2,290000,Customer,Chicago,IL,60601,41.8781,-87.6298,Midwest
Evolution Tech,Enterprise,Rep_2,470000,Customer,Boston,MA,02101,42.3601,-71.0589,Northeast
Brilliant Solutions,Medium,Rep_3,85000,Customer,Baltimore,MD,21201,39.2904,-76.6122,Northeast
Dynamic Ventures,Medium,Rep_3,92000,Prospect,Boston,MA,02101,42.3601,-71.0589,Northeast
Spectrum Analytics,Medium,Rep_3,78000,Customer,Austin,TX,78701,30.2672,-97.7431,South
Meridian Tech,Medium,Rep_3,88000,Customer,Philadelphia,PA,19102,39.9526,-75.1652,Northeast
Crest Systems,Medium,Rep_3,95000,Customer,Miami,FL,33131,25.7617,-80.1918,South
Frontier Solutions,Medium,Rep_3,82000,Prospect,Los Angeles,CA,90012,34.0522,-118.2437,West
Pioneer Industries,Medium,Rep_3,90000,Customer,San Diego,CA,92101,32.7157,-117.1611,West
Horizon Ventures,Medium,Rep_3,76000,Customer,Columbus,OH,43215,39.9612,-82.9988,Midwest
Compass Tech,Medium,Rep_3,94000,Customer,New York,NY,10001,40.7128,-74.006,Northeast
Beacon Systems,Medium,Rep_3,80000,Prospect,Los Angeles,CA,90012,34.0522,-118.2437,West
Gateway Solutions,Medium,Rep_3,87000,Customer,Portland,OR,97201,45.5152,-122.6784,West
Bridge Technologies,Medium,Rep_3,91000,Customer,Los Angeles,CA,90012,34.0522,-118.2437,West
Portal Innovations,Medium,Rep_3,79000,Customer,Nashville,TN,37201,36.1627,-86.7816,South
Pathway Corp,Medium,Rep_3,86000,Prospect,Chicago,IL,60601,41.8781,-87.6298,Midwest
Navigator Systems,Medium,Rep_3,93000,Customer,Denver,CO,80202,39.7392,-104.9903,Mountain
Milestone Solutions,Medium,Rep_3,81000,Customer,Miami,FL,33131,25.7617,-80.1918,South
Keystone Tech,Medium,Rep_3,89000,Customer,Nashville,TN,37201,36.1627,-86.7816,South
Foundation Group,Medium,Rep_3,84000,Prospect,Washington,DC,20001,38.9072,-77.0369,Northeast
Cornerstone Systems,Medium,Rep_3,96000,Customer,Denver,CO,80202,39.7392,-104.9903,Mountain
Blueprint Analytics,Medium,Rep_3,77000,Customer,San Francisco,CA,94102,37.7749,-122.4194,West
Framework Solutions,Medium,Rep_3,83000,Customer,San Francisco,CA,94102,37.7749,-122.4194,West
Structure Tech,Medium,Rep_3,90000,Customer,Los Angeles,CA,90012,34.0522,-118.2437,West
Baseline Systems,Medium,Rep_3,75000,Prospect,New York,NY,10001,40.7128,-74.006,Northeast
Platform Innovations,Medium,Rep_3,88000,Customer,Boston,MA,02101,42.3601,-71.0589,Northeast
Axis Corporation,Medium,Rep_3,92000,Customer,Los Angeles,CA,90012,34.0522,-118.2437,West
SmartTech Solutions,Small,Rep_4,25000,Customer,Washington,DC,20001,38.9072,-77.0369,Northeast
QuickServe Systems,Small,Rep_4,18000,Prospect,Atlanta,GA,30303,33.749,-84.388,South
MicroData Inc,Small,Rep_4,22000,Customer,Detroit,MI,48201,42.3314,-83.0458,Midwest
CompactTech,Small,Rep_4,28000,Customer,Cleveland,OH,44101,41.4993,-81.6944,Midwest
AgileWorks,Small,Rep_4,20000,Customer,Miami,FL,33131,25.7617,-80.1918,South
SwiftSolutions,Small,Rep_4,24000,Prospect,Charlotte,NC,28202,35.2271,-80.8431,South
NimbleTech,Small,Rep_4,19000,Customer,Minneapolis,MN,55401,44.9778,-93.265,Midwest
RapidSystems,Small,Rep_4,26000,Customer,Los Angeles,CA,90012,34.0522,-118.2437,West
FlexiCorp,Small,Rep_4,21000,Customer,Chicago,IL,60601,41.8781,-87.6298,Midwest
LeanTech Solutions,Small,Rep_4,23000,Prospect,San Francisco,CA,94102,37.7749,-122.4194,West
EfficientSystems,Small,Rep_4,27000,Customer,Detroit,MI,48201,42.3314,-83.0458,Midwest
StreamlineTech,Small,Rep_4,17000,Customer,Atlanta,GA,30303,33.749,-84.388,South
OptimizeWorks,Small,Rep_4,25000,Customer,Cleveland,OH,44101,41.4993,-81.6944,Midwest
SpeedySolutions,Small,Rep_4,20000,Prospect,Charlotte,NC,28202,35.2271,-80.8431,South
SimpleTech Inc,Small,Rep_4,22000,Customer,Chicago,IL,60601,41.8781,-87.6298,Midwest
QuickWin Systems,Small,Rep_4,24000,Customer,Boston,MA,02101,42.3601,-71.0589,Northeast
FastTrack Solutions,Small,Rep_4,19000,Customer,Miami,FL,33131,25.7617,-80.1918,South
DirectTech,Small,Rep_4,26000,Prospect,Dallas,TX,75201,32.7767,-96.797,South
CompactSolutions,Small,Rep_4,21000,Customer,Nashville,TN,37201,36.1627,-86.7816,South
MiniSystems Corp,Small,Rep_4,23000,Customer,New York,NY,10001,40.7128,-74.006,Northeast
BriefTech,Small,Rep_4,18000,Customer,Seattle,WA,98101,47.6062,-122.3321,West
ConciseSolutions,Small,Rep_4,25000,Customer,Denver,CO,80202,39.7392,-104.9903,Mountain
TerseTech,Small,Rep_4,20000,Prospect,Nashville,TN,37201,36.1627,-86.7816,South
PithySystems,Small,Rep_4,22000,Customer,Philadelphia,PA,19102,39.9526,-75.1652,Northeast
SnappyTech,Small,Rep_4,24000,Customer,Denver,CO,80202,39.7392,-104.9903,Mountain
CrispSolutions,Small,Rep_4,19000,Customer,Houston,TX,77002,29.7604,-95.3698,South
ShortCut Systems,Small,Rep_4,27000,Prospect,Baltimore,MD,21201,39.2904,-76.6122,Northeast
QuickByte Tech,Small,Rep_4,21000,Customer,Atlanta,GA,30303,33.749,-84.388,South
InstantSolutions,Small,Rep_4,23000,Customer,Minneapolis,MN,55401,44.9778,-93.265,Midwest
PromptTech,Small,Rep_4,18000,Customer,Minneapolis,MN,55401,44.9778,-93.265,Midwest
ReadySystems,Small,Rep_4,25000,Customer,Los Angeles,CA,90012,34.0522,-118.2437,West
HandyTech,Small,Rep_4,20000,Prospect,Chicago,IL,60601,41.8781,-87.6298,Midwest
EasySolutions,Small,Rep_4,22000,Customer,Chicago,IL,60601,41.8781,-87.6298,Midwest
BreezyTech,Small,Rep_4,24000,Customer,Dallas,TX,75201,32.7767,-96.797,South
LightSystems,Small,Rep_4,19000,Customer,Boston,MA,02101,42.3601,-71.0589,Northeast
AirySolutions,Small,Rep_4,26000,Customer,Portland,OR,97201,45.5152,-122.6784,West
Elite Enterprises,Large,Rep_5,330000,Customer,New York,NY,10001,40.7128,-74.006,Northeast
Premier Systems,Large,Rep_5,285000,Prospect,San Diego,CA,92101,32.7157,-117.1611,West
Superior Tech,Large,Rep_5,315000,Customer,Portland,OR,97201,45.5152,-122.6784,West
Excellence Corp,Large,Rep_5,295000,Customer,Austin,TX,78701,30.2672,-97.7431,South
Prestige Solutions,Large,Rep_5,340000,Customer,Atlanta,GA,30303,33.749,-84.388,South
Quality Innovations,Large,Rep_5,275000,Customer,Chicago,IL,60601,41.8781,-87.6298,Midwest
Prime Technologies,Large,Rep_5,325000,Prospect,San Francisco,CA,94102,37.7749,-122.4194,West
Distinguished Systems,Large,Rep_5,290000,Customer,Washington,DC,20001,38.9072,-77.0369,Northeast
Notable Solutions,Large,Rep_5,310000,Customer,Boston,MA,02101,42.3601,-71.0589,Northeast
Eminent Tech,Large,Rep_5,305000,Customer,Seattle,WA,98101,47.6062,-122.3321,West
Renowned Corp,Large,Rep_5,335000,Customer,Cleveland,OH,44101,41.4993,-81.6944,Midwest
Esteemed Systems,Large,Rep_5,280000,Prospect,Dallas,TX,75201,32.7767,-96.797,South
Respected Solutions,Large,Rep_5,320000,Customer,New York,NY,10001,40.7128,-74.006,Northeast
Acclaimed Tech,Large,Rep_5,300000,Customer,Los Angeles,CA,90012,34.0522,-118.2437,West
Celebrated Innovations,Large,Rep_5,315000,Customer,Austin,TX,78701,30.2672,-97.7431,South
Micro Solutions Ltd,Small,Rep_6,16000,Customer,Atlanta,GA,30303,33.749,-84.388,South
Tiny Tech Corp,Small,Rep_6,14000,Prospect,Austin,TX,78701,30.2672,-97.7431,South
Mini Innovations,Small,Rep_6,19000,Customer,New York,NY,10001,40.7128,-74.006,Northeast
Petite Systems,Small,Rep_6,15000,Customer,Chicago,IL,60601,41.8781,-87.6298,Midwest
Little Tech Co,Small,Rep_6,17000,Customer,Boston,MA,02101,42.3601,-71.0589,Northeast
Modest Solutions,Small,Rep_6,13000,Prospect,Seattle,WA,98101,47.6062,-122.3321,West
Humble Tech,Small,Rep_6,18000,Customer,Boston,MA,02101,42.3601,-71.0589,Northeast
Minor Systems,Small,Rep_6,16000,Customer,San Diego,CA,92101,32.7157,-117.1611,West
Lesser Innovations,Small,Rep_6,14000,Customer,Los Angeles,CA,90012,34.0522,-118.2437,West
Junior Tech,Small,Rep_6,20000,Prospect,Boston,MA,02101,42.3601,-71.0589,Northeast
Startup Solutions,Small,Rep_6,15000,Customer,Austin,TX,78701,30.2672,-97.7431,South
Emerging Systems,Small,Rep_6,17000,Customer,Minneapolis,MN,55401,44.9778,-93.265,Midwest
