account_name,account_size,current_owner,estimated_annual_value,customer_status,new_owner
Acme Corporation,Enterprise,Rep_1,450000,Customer,Rep_1
TechVision Inc,Large,Rep_1,280000,Customer,Rep_1
GlobalSoft Solutions,Enterprise,Rep_1,500000,Customer,Rep_1
DataSync Systems,Large,Rep_1,320000,Customer,Rep_1
CloudFirst Technologies,Enterprise,Rep_1,475000,Prospect,Rep_8
InnovateCorp,Large,Rep_1,295000,Customer,Rep_1
NextGen Analytics,Enterprise,Rep_1,490000,Customer,Rep_1
Quantum Industries,Large,Rep_1,310000,Prospect,Rep_8
AlphaWave Systems,Enterprise,Rep_1,460000,Customer,Rep_1
BetaTech Solutions,Large,Rep_1,275000,Customer,Rep_1
CoreLogic Enterprises,Enterprise,Rep_1,485000,Customer,Rep_1
Delta Innovations,Large,Rep_1,305000,Prospect,Rep_6
Epsilon Technologies,Enterprise,Rep_1,470000,Customer,Rep_1
Zenith Solutions,Large,Rep_1,290000,Customer,Rep_1
Pinnacle Systems,Enterprise,Rep_1,495000,Customer,Rep_1
Vertex Analytics,Large,Rep_1,315000,Customer,Rep_1
Horizon Tech Group,Enterprise,Rep_1,455000,Prospect,Rep_4
Nexus Corporation,Large,Rep_1,285000,Customer,Rep_1
Summit Solutions,Enterprise,Rep_1,480000,Customer,Rep_1
Apex Innovations,Large,Rep_1,300000,Customer,Rep_1
Titan Enterprises,Enterprise,Rep_2,465000,Customer,Rep_2
Omega Systems,Large,Rep_2,325000,Customer,Rep_2
Vanguard Tech,Enterprise,Rep_2,440000,Prospect,Rep_8
Precision Analytics,Large,Rep_2,270000,Customer,Rep_2
Stellar Solutions,Enterprise,Rep_2,455000,Customer,Rep_2
Matrix Industries,Large,Rep_2,295000,Customer,Rep_2
Fusion Technologies,Enterprise,Rep_2,475000,Customer,Rep_2
Prism Systems,Large,Rep_2,310000,Prospect,Rep_4
Catalyst Corp,Enterprise,Rep_2,450000,Customer,Rep_2
Momentum Tech,Large,Rep_2,280000,Customer,Rep_2
Velocity Solutions,Enterprise,Rep_2,490000,Customer,Rep_2
Paradigm Group,Large,Rep_2,305000,Customer,Rep_2
Synergy Innovations,Enterprise,Rep_2,460000,Prospect,Rep_6
Convergence Systems,Large,Rep_2,290000,Customer,Rep_2
Evolution Tech,Enterprise,Rep_2,470000,Customer,Rep_2
Brilliant Solutions,Medium,Rep_3,85000,Customer,Rep_3
Dynamic Ventures,Medium,Rep_3,92000,Prospect,Rep_6
Spectrum Analytics,Medium,Rep_3,78000,Customer,Rep_3
Meridian Tech,Medium,Rep_3,88000,Customer,Rep_3
Crest Systems,Medium,Rep_3,95000,Customer,Rep_3
Frontier Solutions,Medium,Rep_3,82000,Prospect,Rep_4
Pioneer Industries,Medium,Rep_3,90000,Customer,Rep_3
Horizon Ventures,Medium,Rep_3,76000,Customer,Rep_3
Compass Tech,Medium,Rep_3,94000,Customer,Rep_3
Beacon Systems,Medium,Rep_3,80000,Prospect,Rep_6
Gateway Solutions,Medium,Rep_3,87000,Customer,Rep_3
Bridge Technologies,Medium,Rep_3,91000,Customer,Rep_3
Portal Innovations,Medium,Rep_3,79000,Customer,Rep_3
Pathway Corp,Medium,Rep_3,86000,Prospect,Rep_8
Navigator Systems,Medium,Rep_3,93000,Customer,Rep_3
Milestone Solutions,Medium,Rep_3,81000,Customer,Rep_3
Keystone Tech,Medium,Rep_3,89000,Customer,Rep_3
Foundation Group,Medium,Rep_3,84000,Prospect,Rep_3
Cornerstone Systems,Medium,Rep_3,96000,Customer,Rep_3
Blueprint Analytics,Medium,Rep_3,77000,Customer,Rep_3
