Account Name,From Rep,To Rep,Account Size,Customer Status,Account Value,Reason
CloudFirst Technologies,Rep_1,Rep_8,Enterprise,Prospect,"$475,000",High-value prospect to underutilized rep (was 30% utilized)
Synergy Innovations,Rep_2,Rep_6,Enterprise,Prospect,"$460,000",High-value prospect to underutilized rep (was 47% utilized)
Horizon Tech Group,Rep_1,Rep_4,Enterprise,Prospect,"$455,000",High-value prospect to underutilized rep (was 43% utilized)
Vanguard Tech,Rep_2,Rep_8,Enterprise,Prospect,"$440,000",High-value prospect to underutilized rep (was 30% utilized)
Prime Technologies,Rep_5,Rep_6,Large,Prospect,"$325,000",Better utilize capacity (to rep at 47%)
Prism Systems,Rep_2,Rep_4,Large,Prospect,"$310,000",Offload from over-capacity rep (105% → target 80-95%)
Quantum Industries,Rep_1,Rep_8,Large,Prospect,"$310,000",Offload from over-capacity rep (137% → target 80-95%)
Delta Innovations,Rep_1,Rep_6,Large,Prospect,"$305,000",Offload from over-capacity rep (137% → target 80-95%)
Premier Systems,Rep_5,Rep_4,Large,Prospect,"$285,000",Better utilize capacity (to rep at 43%)
Esteemed Systems,Rep_5,Rep_8,Large,Prospect,"$280,000",Better utilize capacity (to rep at 30%)
Middle Corp,Rep_7,Rep_6,Medium,Prospect,"$108,000",Better utilize capacity (to rep at 47%)
Typical Innovations,Rep_7,Rep_3,Medium,Prospect,"$103,000",Better utilize capacity (to rep at 59%)
Trustworthy Innovations,Rep_7,Rep_4,Medium,Prospect,"$103,000",Better utilize capacity (to rep at 43%)
Routine Tech,Rep_7,Rep_6,Medium,Prospect,"$101,000",Better utilize capacity (to rep at 47%)
Ordinary Tech,Rep_7,Rep_8,Medium,Prospect,"$100,000",Better utilize capacity (to rep at 30%)
Moderate Systems,Rep_7,Rep_3,Medium,Prospect,"$98,000",Better utilize capacity (to rep at 59%)
Steady Innovations,Rep_7,Rep_4,Medium,Prospect,"$96,000",Better utilize capacity (to rep at 43%)
Dynamic Ventures,Rep_3,Rep_6,Medium,Prospect,"$92,000",Better utilize capacity (to rep at 47%)
Pathway Corp,Rep_3,Rep_8,Medium,Prospect,"$86,000",Better utilize capacity (to rep at 30%)
Frontier Solutions,Rep_3,Rep_4,Medium,Prospect,"$82,000",Better utilize capacity (to rep at 43%)
Beacon Systems,Rep_3,Rep_6,Medium,Prospect,"$80,000",Better utilize capacity (to rep at 47%)
Baseline Systems,Rep_3,Rep_8,Medium,Prospect,"$75,000",Better utilize capacity (to rep at 30%)
ShortCut Systems,Rep_4,Rep_3,Small,Prospect,"$27,000",Better utilize capacity (to rep at 59%)
SwiftSolutions,Rep_4,Rep_3,Small,Prospect,"$24,000",Better utilize capacity (to rep at 59%)
LeanTech Solutions,Rep_4,Rep_6,Small,Prospect,"$23,000",Better utilize capacity (to rep at 47%)
TerseTech,Rep_4,Rep_3,Small,Prospect,"$20,000",Better utilize capacity (to rep at 59%)
SpeedySolutions,Rep_4,Rep_6,Small,Prospect,"$20,000",Better utilize capacity (to rep at 47%)
Junior Tech,Rep_6,Rep_4,Small,Prospect,"$20,000",Better utilize capacity (to rep at 43%)
Budding Innovations,Rep_6,Rep_3,Small,Prospect,"$19,000",Better utilize capacity (to rep at 59%)
QuickServe Systems,Rep_4,Rep_8,Small,Prospect,"$18,000",Better utilize capacity (to rep at 30%)
Advancing Systems,Rep_6,Rep_4,Small,Prospect,"$15,000",Better utilize capacity (to rep at 43%)
Improving Tech,Rep_6,Rep_8,Small,Prospect,"$14,000",Better utilize capacity (to rep at 30%)
Tiny Tech Corp,Rep_6,Rep_3,Small,Prospect,"$14,000",Better utilize capacity (to rep at 59%)
Alert Tech,Rep_8,Rep_6,Small,Prospect,"$14,000",Better utilize capacity (to rep at 47%)
Expanding Corp,Rep_6,Rep_4,Small,Prospect,"$13,000",Better utilize capacity (to rep at 43%)
Modest Solutions,Rep_6,Rep_8,Small,Prospect,"$13,000",Better utilize capacity (to rep at 30%)
Prudent Systems,Rep_8,Rep_3,Small,Prospect,"$13,000",Better utilize capacity (to rep at 59%)
Rational Systems,Rep_8,Rep_4,Small,Prospect,"$11,000",Better utilize capacity (to rep at 43%)
Economy Systems,Rep_8,Rep_6,Small,Prospect,"$10,000",Better utilize capacity (to rep at 47%)
Wise Systems,Rep_8,Rep_3,Small,Prospect,"$10,000",Better utilize capacity (to rep at 59%)
